seg. ago. 17 17:13:48 2026 1786997628709 Debug: main.cpp int main(int, char **) "domyos_treadmill_t900a" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628709 Debug: main.cpp int main(int, char **) "domyos_treadmill_ts100" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628710 Debug: main.cpp int main(int, char **) "domyosbike_notfmts" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628711 Debug: main.cpp int main(int, char **) "domyostreadmill_notfmts" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628712 Debug: main.cpp int main(int, char **) "echelon_resistance_gain" QVariant(QString, "1")
seg. ago. 17 17:13:48 2026 1786997628712 Debug: main.cpp int main(int, char **) "echelon_resistance_offset" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628713 Debug: main.cpp int main(int, char **) "echelon_watttable" QVariant(QString, "Echelon")
seg. ago. 17 17:13:48 2026 1786997628714 Debug: main.cpp int main(int, char **) "elite_rizer_gain" QVariant(QString, "1")
seg. ago. 17 17:13:48 2026 1786997628714 Debug: main.cpp int main(int, char **) "elite_rizer_name" QVariant(QString, "Disabled")
seg. ago. 17 17:13:48 2026 1786997628715 Debug: main.cpp int main(int, char **) "elite_sterzo_smart_name" QVariant(QString, "Disabled")
seg. ago. 17 17:13:48 2026 1786997628715 Debug: main.cpp int main(int, char **) "enerfit_SPX_9500" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628716 Debug: main.cpp int main(int, char **) "ergDataPoints" QVariant(QString, "85|150|12")
seg. ago. 17 17:13:48 2026 1786997628716 Debug: main.cpp int main(int, char **) "eslinker_cadenza" QVariant(QString, "true")
seg. ago. 17 17:13:48 2026 1786997628717 Debug: main.cpp int main(int, char **) "eslinker_costaway" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628717 Debug: main.cpp int main(int, char **) "eslinker_ypoo" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628718 Debug: main.cpp int main(int, char **) "fakedevice_elliptical" QVariant(QString, "false")
